Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38
Data,4,device_info,timestamp,776612283,s,device_index,1,,device_type,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,776612283,s,manufacturer,1,,product,0,,software_version,2.86,,device_index,2,,device_type,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,776612283,s,serial_number,24707549,,unknown,23,,device_index,3,,device_type,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,5,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,776612283,,unknown,2,,unknown,2,,unknown,1,,unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,6,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,776612283,s,position_lat,460021928,semicircles,position_long,-1465415342,semicircles,distance,2.85,m,altitude,38.4,m,speed,2.484,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,776612286,,unknown,2,,unknown,2,,unknown,3,,unknown,1,,unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,7,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,cadence,1,,temperature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612286,s,position_lat,460020885,semicircles,position_long,-1465416186,semicircles,distance,14.56,m,altitude,38.4,m,speed,4.528,m/s,cadence,32,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612287,s,position_lat,460020683,semicircles,position_long,-1465416765,semicircles,distance,19.18,m,altitude,38,m,speed,4.387,m/s,cadence,32,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612290,s,position_lat,460020849,semicircles,position_long,-1465418965,semicircles,distance,35.34,m,altitude,38,m,speed,5.468,m/s,cadence,43,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612292,s,position_lat,460021144,semicircles,position_long,-1465420591,semicircles,distance,47.54,m,altitude,38,m,speed,6.136,m/s,cadence,51,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612295,s,position_lat,460021598,semicircles,position_long,-1465423334,semicircles,distance,68.01,m,altitude,38,m,speed,7.056,m/s,cadence,58,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612301,s,position_lat,460023152,semicircles,position_long,-1465428734,semicircles,distance,110.06,m,altitude,38,m,speed,6.582,m/s,cadence,0,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612306,s,position_lat,460023664,semicircles,position_long,-1465432024,semicircles,distance,134.88,m,altitude,38,m,speed,4.406,m/s,cadence,0,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612307,s,position_lat,460023415,semicircles,position_long,-1465432510,semicircles,distance,139.1,m,altitude,38,m,speed,4.192,m/s,cadence,20,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612309,s,position_lat,460022408,semicircles,position_long,-1465433339,semicircles,distance,150.39,m,altitude,38,m,speed,5.784,m/s,cadence,46,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612312,s,position_lat,460020056,semicircles,position_long,-1465433661,semicircles,distance,172.45,m,altitude,38,m,speed,7.14,m/s,cadence,60,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612313,s,position_lat,460019249,semicircles,position_long,-1465433692,semicircles,distance,179.96,m,altitude,38,m,speed,7.431,m/s,cadence,62,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612319,s,position_lat,460014029,semicircles,position_long,-1465433553,semicircles,distance,228.54,m,altitude,38,m,speed,8.446,m/s,cadence,72,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612326,s,position_lat,460007478,semicircles,position_long,-1465433439,semicircles,distance,289.51,m,altitude,38,m,speed,8.25,m/s,cadence,75,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612333,s,position_lat,460001335,semicircles,position_long,-1465433530,semicircles,distance,346.67,m,altitude,38,m,speed,7.626,m/s,cadence,65,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612338,s,position_lat,459998219,semicircles,position_long,-1465433363,semicircles,distance,375.72,m,altitude,38,m,speed,3.839,m/s,cadence,0,rpm,temperature,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612340,s,position_lat,459997517,semicircles,position_long,-1465432514,semicircles,distance,385.02,m,altitude,38,m,speed,4.496,m/s,cadence,29,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612341,s,position_lat,459997346,semicircles,position_long,-1465431744,semicircles,distance,390.86,m,altitude,38,m,speed,5.4,m/s,cadence,41,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612345,s,position_lat,459997000,semicircles,position_long,-1465428228,semicircles,distance,416.79,m,altitude,38,m,speed,6.685,m/s,cadence,56,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612346,s,position_lat,459996973,semicircles,position_long,-1465427298,semicircles,distance,423.59,m,altitude,38,m,speed,6.843,m/s,cadence,59,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612352,s,position_lat,459996649,semicircles,position_long,-1465420910,semicircles,distance,470.36,m,altitude,38,m,speed,7.915,m/s,cadence,67,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612357,s,position_lat,459996856,semicircles,position_long,-1465415566,semicircles,distance,509.48,m,altitude,38,m,speed,7.583,m/s,cadence,67,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612365,s,position_lat,459996859,semicircles,position_long,-1465407065,semicircles,distance,571.63,m,altitude,38,m,speed,7.958,m/s,cadence,68,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612367,s,position_lat,459996864,semicircles,position_long,-1465404947,semicircles,distance,587.1,m,altitude,38.4,m,speed,7.854,m/s,cadence,68,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612368,s,position_lat,459996867,semicircles,position_long,-1465403876,semicircles,distance,594.92,m,altitude,38.8,m,speed,7.917,m/s,cadence,68,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612369,s,position_lat,459996840,semicircles,position_long,-1465402798,semicircles,distance,602.81,m,altitude,39.2,m,speed,8.025,m/s,cadence,68,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612370,s,position_lat,459996830,semicircles,position_long,-1465401687,semicircles,distance,610.92,m,altitude,39.6,m,speed,8.082,m/s,cadence,69,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612371,s,position_lat,459996813,semicircles,position_long,-1465400590,semicircles,distance,618.93,m,altitude,40,m,speed,7.954,m/s,cadence,69,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612375,s,position_lat,459996705,semicircles,position_long,-1465396210,semicircles,distance,650.95,m,altitude,40,m,speed,8.005,m/s,cadence,68,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612382,s,position_lat,459996838,semicircles,position_long,-1465388583,semicircles,distance,706.71,m,altitude,40,m,speed,8.067,m/s,cadence,69,rpm,temperature,19,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612390,s,position_lat,459996679,semicircles,position_long,-1465379583,semicircles,distance,772.47,m,altitude,40,m,speed,8.206,m/s,cadence,72,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612392,s,position_lat,459996689,semicircles,position_long,-1465377409,semicircles,distance,788.36,m,altitude,39.6,m,speed,7.857,m/s,cadence,72,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612393,s,position_lat,459996711,semicircles,position_long,-1465376362,semicircles,distance,796.01,m,altitude,39.2,m,speed,7.671,m/s,cadence,36,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612394,s,position_lat,459996748,semicircles,position_long,-1465375470,semicircles,distance,802.54,m,altitude,38.8,m,speed,6.697,m/s,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612395,s,position_lat,459996789,semicircles,position_long,-1465374663,semicircles,distance,808.45,m,altitude,38.4,m,speed,5.813,m/s,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612396,s,position_lat,459996842,semicircles,position_long,-1465374124,semicircles,distance,812.42,m,altitude,38,m,speed,4.33,m/s,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612398,s,position_lat,459996948,semicircles,position_long,-1465373266,semicircles,distance,818.76,m,altitude,37.6,m,speed,3.238,m/s,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612399,s,position_lat,459997075,semicircles,position_long,-1465372692,semicircles,distance,823.11,m,altitude,36.6,m,speed,4.124,m/s,cadence,9,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612400,s,position_lat,459997384,semicircles,position_long,-1465372135,semicircles,distance,828.09,m,altitude,36.2,m,speed,4.789,m/s,cadence,38,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612401,s,position_lat,459997921,semicircles,position_long,-1465371748,semicircles,distance,833.81,m,altitude,35.8,m,speed,5.423,m/s,cadence,46,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612403,s,position_lat,459999305,semicircles,position_long,-1465371501,semicircles,distance,846.8,m,altitude,35.8,m,speed,6.523,m/s,cadence,52,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612405,s,position_lat,460000890,semicircles,position_long,-1465371465,semicircles,distance,861.55,m,altitude,35.8,m,speed,7.335,m/s,cadence,60,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612408,s,position_lat,460003362,semicircles,position_long,-1465371562,semicircles,distance,884.56,m,altitude,35.8,m,speed,7.784,m/s,cadence,67,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612414,s,position_lat,460008788,semicircles,position_long,-1465371773,semicircles,distance,935.09,m,altitude,36.2,m,speed,8.345,m/s,cadence,70,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612415,s,position_lat,460009661,semicircles,position_long,-1465371697,semicircles,distance,943.23,m,altitude,36.6,m,speed,8.197,m/s,cadence,70,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612416,s,position_lat,460010496,semicircles,position_long,-1465371595,semicircles,distance,951.04,m,altitude,37,m,speed,7.938,m/s,cadence,69,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612417,s,position_lat,460011394,semicircles,position_long,-1465371549,semicircles,distance,959.4,m,altitude,37.4,m,speed,7.98,m/s,cadence,69,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612418,s,position_lat,460012215,semicircles,position_long,-1465371553,semicircles,distance,967.04,m,altitude,37.8,m,speed,7.745,m/s,cadence,69,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612420,s,position_lat,460013797,semicircles,position_long,-1465371507,semicircles,distance,981.76,m,altitude,37.8,m,speed,7.5,m/s,cadence,47,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612426,s,position_lat,460018934,semicircles,position_long,-1465371459,semicircles,distance,1029.58,m,altitude,37.8,m,speed,8.007,m/s,cadence,70,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612433,s,position_lat,460024745,semicircles,position_long,-1465371386,semicircles,distance,1083.66,m,altitude,37.8,m,speed,7.688,m/s,cadence,65,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612440,s,position_lat,460030162,semicircles,position_long,-1465371061,semicircles,distance,1135,m,altitude,37.8,m,speed,7.216,m/s,cadence,64,rpm,temperature,17,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612442,s,position_lat,460030745,semicircles,position_long,-1465369356,semicircles,distance,1148.89,m,altitude,37.8,m,speed,6.71,m/s,cadence,14,rpm,temperature,17,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612445,s,position_lat,460030390,semicircles,position_long,-1465366540,semicircles,distance,1169.94,m,altitude,37.8,m,speed,7.181,m/s,cadence,58,rpm,temperature,17,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776612448,s,position_lat,460028515,semicircles,position_long,-1465364985,semicircles,distance,1192.06,m,altitude,37.8,m,speed,7.358,m/s,cadence,53,rpm,temperature,17,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
